# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 11:56:26 2025
#
# User preference: *
#
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
#
loc_rowid,koi_period,koi_duration,koi_prad,koi_insol,koi_teq,koi_steff,koi_srad
1,9.488035570,2.95750,2.26,93.59,793.0,5455.00,0.9270
2,54.418382700,4.50700,2.83,9.11,443.0,5455.00,0.9270
3,19.899139950,1.78220,14.60,39.30,638.0,5853.00,0.8680
4,1.736952453,2.40641,33.46,891.96,1395.0,5805.00,0.7910
5,2.525591777,1.65450,2.75,926.16,1406.0,6031.00,1.0460
6,11.094320540,4.59450,3.90,114.81,835.0,6046.00,0.9720
7,4.134435120,3.14020,2.77,427.65,1160.0,6046.00,0.9720
8,2.566588970,2.42900,1.59,807.74,1360.0,6046.00,0.9720
9,7.361789580,5.02200,39.21,767.22,1342.0,6227.00,1.9580
10,16.068646740,3.53470,5.76,30.75,600.0,5031.00,0.8480
11,2.470613377,1.74319,13.04,761.46,1339.0,5820.00,0.9640
12,2.204735417,3.88864,16.10,4148.92,2048.0,6440.00,1.9520
13,3.522498429,3.19843,14.59,1264.67,1521.0,6225.00,1.4510
14,3.709214104,2.63020,1.16,500.46,1206.0,5833.00,1.0220
15,11.521446064,3.63990,150.51,75.88,753.0,5795.00,0.8480
16,19.403937760,12.21550,7.18,17.69,523.0,5043.00,0.6800
17,19.221388942,4.79843,49.29,55.97,698.0,6117.00,0.9470
18,16.469837740,9.43780,7.94,29.61,595.0,5152.00,0.7860
19,9.273581730,3.28750,2.47,41.85,649.0,4856.00,0.6960
20,6.029303290,1.58210,2.85,50.04,678.0,4537.00,0.6720
21,2.696370652,3.61290,1.58,305.34,1066.0,4989.00,0.8190
22,5.349553819,3.02780,2.55,168.99,919.0,5185.00,0.9100
23,3.941052210,2.59840,1.70,253.15,1018.0,5185.00,0.9100
24,8.109048070,3.59600,1.30,97.03,800.0,5185.00,0.9100
25,386.603052800,6.80570,41.50,1.84,297.0,5543.00,1.5800
26,21.676991930,3.45550,2.95,18.64,530.0,4954.00,0.8280
27,4.996779680,2.17170,2.78,166.95,917.0,5339.00,0.8470
28,4.280963604,2.87500,2.30,247.87,1012.0,5644.00,0.8310
29,1.506354090,1.51550,4.53,1054.12,1452.0,5714.00,0.8310
30,670.645531000,53.41200,14.14,0.35,196.0,5520.00,0.9830
31,61.256362800,7.63300,39.87,15.43,505.0,6144.00,1.0910
32,38.377548600,5.58800,2.82,18.53,529.0,5481.00,1.0360
33,41.197255020,4.62970,3.86,8.76,439.0,5031.00,0.8480
34,6.252962249,2.58190,2.65,108.30,823.0,5031.00,0.8480
35,16.013084190,3.25540,3.10,29.31,593.0,5015.00,0.8260
36,32.628766720,4.79710,3.36,15.55,506.0,5586.00,0.7980
37,91.773286200,6.47300,2.12,3.92,359.0,5586.00,0.7980
38,4.959319244,2.22739,12.21,349.40,1103.0,5712.00,1.0820
39,2.701287801,3.38270,6.54,527.81,1222.0,5550.00,0.9100
40,4.498765110,3.73620,2.10,389.62,1133.0,6075.00,0.9690
41,19.651209505,5.25140,12.42,67.03,730.0,6074.00,1.0630
42,5.412203927,2.94720,2.94,337.68,1093.0,5779.00,1.0870
43,41.439586620,10.59890,5.50,16.72,516.0,5468.00,1.0460
44,8.353895230,2.25140,2.52,91.90,790.0,5592.00,0.7870
45,4.125543472,3.17440,4.43,565.35,1243.0,6174.00,1.1030
46,2.816504904,2.50587,12.21,521.13,1219.0,5532.00,0.9550
47,33.933734470,14.56100,7.34,8.11,430.0,5040.00,0.7050
48,3.689920099,2.65570,1.89,408.99,1147.0,5880.00,0.9170
49,4.431238488,3.15000,3.25,351.23,1104.0,5714.00,1.0150
50,11.379369860,2.62550,3.95,99.68,806.0,5714.00,1.0150
51,26.394328970,3.57300,3.07,13.49,489.0,5129.00,0.7630
52,13.570782810,3.35390,2.64,89.61,785.0,5854.00,1.0120
53,7.125943870,3.00140,1.79,233.31,997.0,5779.00,1.0870
54,7.442652004,2.30780,15.03,206.78,967.0,6108.00,0.9560
55,16.384899880,3.02490,2.00,8.35,433.0,4126.00,0.6150
56,7.877416300,2.08050,2.16,22.18,553.0,4126.00,0.6150
57,36.445400100,4.00700,1.99,2.88,332.0,4126.00,0.6150
58,3.728732147,2.68300,6.02,258.34,1023.0,5497.00,0.8090
59,40.419503700,3.36200,7.51,11.29,467.0,5446.00,0.7810
60,2.243380573,1.11960,1.99,107.60,822.0,4149.00,0.5640
61,10.405998015,6.50360,11.23,113.94,833.0,5746.00,0.9240
62,2.337437946,1.99820,2.34,311.16,1070.0,5005.00,0.7650
63,7.240661200,0.55800,19.45,68.63,734.0,5005.00,0.7650
64,3.435916310,3.13300,0.55,617.61,1272.0,5779.00,1.0870
65,11.598222330,2.52370,2.65,5.82,396.0,3688.00,0.4730
66,6.575315881,4.30840,5.31,251.38,1015.0,5992.00,0.9890
67,7.275040844,7.53770,4.86,113.64,833.0,5485.00,0.8670
68,19.271538920,2.75940,1.93,5.66,393.0,4077.00,0.5600
69,10.065243170,1.36900,1.91,13.43,488.0,4077.00,0.5600
70,12.393565100,3.88960,2.66,49.68,677.0,5557.00,0.7500
71,43.844397210,6.80200,2.87,18.77,531.0,5854.00,1.0120
72,3.341913228,3.81300,21.55,268.67,1032.0,5295.00,0.8110
73,1.626630225,2.11450,32.43,1355.88,1547.0,5735.00,0.9730
74,2.711504086,3.00990,3.12,960.79,1420.0,6214.00,1.0760
75,7.212037480,4.04910,3.32,260.58,1025.0,6214.00,1.0760
76,14.179818700,2.50500,1.88,60.35,711.0,5799.00,0.8780
77,8.472379110,2.72450,2.59,75.44,751.0,5354.00,0.7880
78,60.418936900,5.03900,2.36,5.49,390.0,5354.00,0.7880
79,12.611904345,5.14970,7.40,76.15,753.0,5795.00,0.9190
80,1.433769925,1.88680,46.58,3209.29,1920.0,6017.00,1.3390
81,10.318723010,3.83600,28.59,139.26,876.0,5927.00,1.0600
82,2.539183147,2.42820,2.06,743.09,1332.0,5519.00,1.0620
83,6.770300385,2.08440,2.77,102.87,812.0,5653.00,0.6790
84,0.444291966,2.07920,27.51,2706.26,1836.0,5255.00,0.6360
85,10.181584004,3.50890,7.73,102.91,812.0,5988.00,0.8360
86,20.060363360,3.32030,1.96,4.00,361.0,3950.00,0.4930
87,46.184203900,4.75800,1.83,1.32,273.0,3950.00,0.4930
88,23.980085400,5.35100,1.31,41.94,649.0,5854.00,1.0120
89,7.825021680,2.18600,1.20,14.05,494.0,3950.00,0.4930
90,3.895936525,2.31110,7.34,241.62,1005.0,5557.00,0.7740
91,22.366464660,5.22800,2.32,19.45,536.0,5395.00,0.7340
92,1.625522174,2.38963,9.73,1467.41,1579.0,5539.00,1.1060
93,19.620346923,2.00380,13.60,40.39,643.0,5710.00,0.9050
94,7.544039000,6.22200,17.47,116.46,838.0,5657.00,0.8240
95,9.029306890,3.14490,2.57,77.75,757.0,5349.00,0.8200
96,10.328035714,7.79150,13.28,119.31,843.0,5627.00,1.0240
97,143.206304700,8.93020,8.90,2.14,308.0,5485.00,0.8670
98,6.164876000,3.26200,0.79,256.35,1021.0,5854.00,1.0120
99,60.324942160,6.61880,12.19,6.77,411.0,5485.00,0.8670
100,29.159861500,4.80300,1.91,17.85,524.0,5485.00,0.8670
101,1.540397253,2.15410,25.69,1105.68,1470.0,5663.00,0.9150
102,2.990254430,5.41400,1.70,168.45,918.0,4667.00,0.7310
103,1.594745374,1.96040,11.30,1329.42,1539.0,5934.00,0.8930
104,4.783002698,2.33500,2.50,145.48,886.0,5170.00,0.8070
105,20.505889210,4.05950,3.41,17.06,518.0,4905.00,0.7610
106,3.340218842,1.91040,2.03,43.73,656.0,3950.00,0.4930
107,2.507089906,2.00670,30.26,730.47,1326.0,5926.00,0.9390
108,18.649327280,4.40560,3.12,57.13,701.0,5775.00,1.0530
109,4.901449760,4.16540,1.70,598.74,1262.0,5847.00,1.4020
110,9.751921010,4.79300,2.76,135.66,870.0,5775.00,1.0530
111,38.557654600,5.79400,4.02,21.71,550.0,5775.00,1.0530
112,3.525632539,2.59959,11.58,213.12,975.0,5150.00,0.7930
113,34.843986440,2.93150,7.61,16.10,511.0,5509.00,0.8710
114,7.748094239,3.59570,5.52,204.39,964.0,5973.00,1.0850
115,23.967936690,3.82700,1.80,2.77,329.0,3747.00,0.5240
116,8.295617380,1.34210,1.82,11.39,469.0,3747.00,0.5240
117,8.114374820,2.27360,2.10,10.55,460.0,3692.00,0.5170
118,38.036729482,4.34617,27.50,14.81,500.0,5575.00,0.9320
119,4.640900310,35.51200,30.09,421.08,1155.0,6463.00,0.8260
120,3.747838198,5.06420,13.65,266.76,1031.0,5514.00,0.8260
121,14.749148250,6.09950,2.89,137.91,874.0,5847.00,1.4020
122,21.812959960,4.37910,3.38,39.33,639.0,5601.00,0.9990
123,7.919369370,3.31480,10.34,104.00,814.0,5690.00,0.7760
124,1.028436523,1.86060,72.77,3400.48,1947.0,6228.00,0.9900
125,15.375623690,3.31690,11.01,30.54,600.0,4986.00,0.8330
126,8.103632710,3.16100,2.11,52.82,687.0,4861.00,0.7320
127,4.715108430,2.50600,1.46,108.84,823.0,4861.00,0.7320
128,6.365839713,2.97210,2.44,165.33,914.0,5776.00,0.8490
129,5.975817540,3.06500,3.86,284.25,1047.0,6108.00,0.9970
130,2.446737317,4.72110,26.25,597.19,1261.0,5764.00,0.8630
131,3.040330460,1.84110,8.99,257.29,1021.0,5035.00,0.7910
132,15.335286750,3.89700,5.00,32.67,610.0,5251.00,0.8170
133,7.958253280,4.37700,1.06,314.15,1074.0,5847.00,1.4020
134,31.330461350,5.17600,6.50,12.61,481.0,5251.00,0.8170
135,3.904342500,3.83100,12.28,351.05,1104.0,5810.00,0.8980
136,9.286358079,3.49949,17.61,95.03,796.0,5670.00,0.8210
137,3.951405455,2.18620,31.44,388.71,1133.0,6046.00,0.8690
138,23.653694150,8.21830,7.89,67.65,731.0,5739.00,1.3840
139,13.233522140,6.73720,3.06,146.67,888.0,5739.00,1.3840
140,6.155602850,4.98430,2.32,406.94,1146.0,5739.00,1.3840
141,2.090811305,3.38800,1.62,1718.04,1642.0,5739.00,1.3840
142,3.180027898,3.57970,1.53,1066.86,1458.0,5847.00,1.4020
143,50.446741700,7.15900,2.67,24.64,568.0,5739.00,1.3840
144,11.763071640,2.90760,2.35,33.99,616.0,4959.00,0.7560
145,56.227927100,3.57000,2.37,4.22,366.0,4959.00,0.7560
146,2.384052875,3.09180,17.06,244.87,1010.0,4794.00,0.7010
147,7.953547000,2.63120,2.25,55.37,696.0,4768.00,0.7790
148,4.144516560,2.34210,1.48,132.08,864.0,4768.00,0.7790
149,4.859386384,2.27570,38.33,364.23,1114.0,6072.00,0.9880
150,10.526294577,2.52110,8.24,61.16,713.0,5386.00,0.7930
151,4.583520948,2.70550,5.39,274.98,1038.0,5815.00,0.8770
152,3.761818430,3.51760,2.66,372.62,1121.0,5653.00,0.9490
153,8.203969580,2.96670,3.01,71.50,742.0,5015.00,0.8260
154,14.496451860,4.01600,3.01,33.48,613.0,5015.00,0.8260
